plate,transfer,rep,p,n,f
4,0,3,S,76,0.8085106382978723
4,0,3,A,4,0.0425531914893617
4,0,3,B,0,0
4,0,3,A/B,0,0
4,0,3,AB,0,0
4,0,3,E,0,0
4,0,4,U,10,0.10638297872340426
4,0,4,S,73,0.776595744680851
4,0,4,A,11,0.11702127659574468
4,0,4,B,0,0
4,0,4,A/B,0,0
4,0,4,AB,0,0
4,0,4,E,0,0
4,1,1,U,63,0.6702127659574468
4,1,1,S,10,0.10638297872340426
4,1,1,A,21,0.22340425531914893
4,1,1,B,0,0
4,1,1,A/B,0,0
4,1,1,AB,0,0
4,1,1,E,0,0
4,1,2,U,67,0.7127659574468085
4,1,2,S,6,0.06382978723404255
4,1,2,A,21,0.22340425531914893
4,1,2,B,0,0
4,1,2,A/B,0,0
4,1,2,AB,0,0
4,1,2,E,0,0
4,1,3,U,56,0.5957446808510638
4,1,3,S,17,0.18085106382978725
4,1,3,A,21,0.22340425531914893
4,1,3,B,0,0
4,1,3,A/B,0,0
4,1,3,AB,0,0
4,1,3,E,0,0
4,1,4,U,73,0.776595744680851
4,1,4,S,2,0.02127659574468085
4,1,4,A,19,0.20212765957446807
4,1,4,B,0,0
4,1,4,A/B,0,0
4,1,4,AB,0,0
4,1,4,E,0,0
4,2,1,U,83,0.8829787234042553
4,2,1,S,0,0
4,2,1,A,11,0.11702127659574468
4,2,1,B,0,0
4,2,1,A/B,0,0
4,2,1,AB,0,0
4,2,1,E,0,0
4,2,2,U,77,0.8191489361702128
4,2,2,S,0,0
4,2,2,A,17,0.18085106382978725
4,2,2,B,0,0
4,2,2,A/B,0,0
4,2,2,AB,0,0
4,2,2,E,0,0
4,2,3,U,79,0.8404255319148937
4,2,3,S,0,0
4,2,3,A,15,0.1595744680851064
4,2,3,B,0,0
4,2,3,A/B,0,0
4,2,3,AB,0,0
4,2,3,E,0,0
4,2,4,U,89,0.9468085106382979
4,2,4,S,0,0
4,2,4,A,5,0.05319148936170213
4,2,4,B,0,0
4,2,4,A/B,0,0
4,2,4,AB,0,0
4,2,4,E,0,0
4,3,1,U,77,0.8191489361702128
4,3,1,S,0,0
4,3,1,A,17,0.18085106382978725
4,3,1,B,0,0
4,3,1,A/B,0,0
4,3,1,AB,0,0
4,3,1,E,0,0
4,3,2,U,77,0.8191489361702128
4,3,2,S,1,0.010638297872340425
4,3,2,A,16,0.1702127659574468
4,3,2,B,0,0
4,3,2,A/B,0,0
4,3,2,AB,0,0
4,3,2,E,0,0
4,3,3,U,82,0.8723404255319149
4,3,3,S,0,0
4,3,3,A,12,0.1276595744680851
4,3,3,B,0,0
4,3,3,A/B,0,0
4,3,3,AB,0,0
4,3,3,E,0,0
4,3,4,U,85,0.9042553191489362
4,3,4,S,0,0
4,3,4,A,9,0.09574468085106383
4,3,4,B,0,0
4,3,4,A/B,0,0
4,3,4,AB,0,0
4,3,4,E,0,0
4,4,1,U,86,0.9148936170212766
4,4,1,S,1,0.010638297872340425
4,4,1,A,7,0.07446808510638298
4,4,1,B,0,0
4,4,1,A/B,0,0
4,4,1,AB,0,0
4,4,1,E,0,0
4,4,2,U,79,0.8404255319148937
4,4,2,S,0,0
4,4,2,A,15,0.1595744680851064
4,4,2,B,0,0
4,4,2,A/B,0,0
4,4,2,AB,0,0
4,4,2,E,0,0
4,4,3,U,78,0.8297872340425532
4,4,3,S,0,0
4,4,3,A,16,0.1702127659574468
4,4,3,B,0,0
4,4,3,A/B,0,0
4,4,3,AB,0,0
4,4,3,E,0,0
4,4,4,U,92,0.9787234042553191
4,4,4,S,0,0
4,4,4,A,2,0.02127659574468085
4,4,4,B,0,0
4,4,4,A/B,0,0
4,4,4,AB,0,0
4,4,4,E,0,0
4,5,1,U,93,0.9893617021276596
4,5,1,S,0,0
4,5,1,A,1,0.010638297872340425
4,5,1,B,0,0
4,5,1,A/B,0,0
4,5,1,AB,0,0
4,5,1,E,0,0
4,5,2,U,93,0.9893617021276596
4,5,2,S,0,0
4,5,2,A,1,0.010638297872340425
4,5,2,B,0,0
4,5,2,A/B,0,0
4,5,2,AB,0,0
4,5,2,E,0,0
4,5,3,U,84,0.8936170212765957
4,5,3,S,7,0.07446808510638298
4,5,3,A,3,0.031914893617021274
4,5,3,B,0,0
4,5,3,A/B,0,0
4,5,3,AB,0,0
4,5,3,E,0,0
4,5,4,U,73,0.776595744680851
4,5,4,S,1,0.010638297872340425
4,5,4,A,16,0.1702127659574468
4,5,4,B,0,0
4,5,4,A/B,0,0
4,5,4,AB,4,0.0425531914893617
4,5,4,E,0,0
5,0,1,U,0,0
5,0,1,S,94,1
5,0,1,A,0,0
5,0,1,B,0,0
5,0,1,A/B,0,0
5,0,1,AB,0,0
5,0,1,E,0,0
5,0,2,U,12,0.1276595744680851
5,0,2,S,82,0.8723404255319149
5,0,2,A,0,0
5,0,2,B,0,0
5,0,2,A/B,0,0
5,0,2,AB,0,0
5,0,2,E,0,0
5,0,3,U,11,0.11702127659574468
5,0,3,S,79,0.8404255319148937
5,0,3,A,4,0.0425531914893617
5,0,3,B,0,0
5,0,3,A/B,0,0
5,0,3,AB,0,0
5,0,3,E,0,0
5,0,4,U,10,0.10638297872340426
5,0,4,S,76,0.8085106382978723
5,0,4,A,8,0.0851063829787234
5,0,4,B,0,0
5,0,4,A/B,0,0
5,0,4,AB,0,0
5,0,4,E,0,0
5,1,1,U,64,0.6808510638297872
5,1,1,S,13,0.13829787234042554
5,1,1,A,17,0.18085106382978725
5,1,1,B,0,0
5,1,1,A/B,0,0
5,1,1,AB,0,0
5,1,1,E,0,0
5,1,2,U,65,0.6914893617021277
5,1,2,S,13,0.13829787234042554
5,1,2,A,16,0.1702127659574468
5,1,2,B,0,0
5,1,2,A/B,0,0
5,1,2,AB,0,0
5,1,2,E,0,0
5,1,3,U,51,0.5425531914893617
5,1,3,S,22,0.23404255319148937
5,1,3,A,21,0.22340425531914893
5,1,3,B,0,0
5,1,3,A/B,0,0
5,1,3,AB,0,0
5,1,3,E,0,0
5,1,4,U,71,0.7553191489361702
5,1,4,S,5,0.05319148936170213
5,1,4,A,18,0.19148936170212766
5,1,4,B,0,0
5,1,4,A/B,0,0
5,1,4,AB,0,0
5,1,4,E,0,0
5,2,1,U,81,0.8617021276595744
5,2,1,S,0,0
5,2,1,A,13,0.13829787234042554
5,2,1,B,0,0
5,2,1,A/B,0,0
5,2,1,AB,0,0
5,2,1,E,0,0
5,2,2,U,85,0.9042553191489362
5,2,2,S,0,0
5,2,2,A,9,0.09574468085106383
5,2,2,B,0,0
5,2,2,A/B,0,0
5,2,2,AB,0,0
5,2,2,E,0,0
5,2,3,U,85,0.9042553191489362
5,2,3,S,1,0.010638297872340425
5,2,3,A,8,0.0851063829787234
5,2,3,B,0,0
5,2,3,A/B,0,0
5,2,3,AB,0,0
5,2,3,E,0,0
5,2,4,U,86,0.9148936170212766
5,2,4,S,1,0.010638297872340425
5,2,4,A,7,0.07446808510638298
5,2,4,B,0,0
5,2,4,A/B,0,0
5,2,4,AB,0,0
5,2,4,E,0,0
5,3,1,U,78,0.8297872340425532
5,3,1,S,0,0
5,3,1,A,16,0.1702127659574468
5,3,1,B,0,0
5,3,1,A/B,0,0
5,3,1,AB,0,0
5,3,1,E,0,0
5,3,2,U,78,0.8297872340425532
5,3,2,S,0,0
5,3,2,A,16,0.1702127659574468
5,3,2,B,0,0
5,3,2,A/B,0,0
5,3,2,AB,0,0
5,3,2,E,0,0
5,3,3,U,79,0.8404255319148937
5,3,3,S,1,0.010638297872340425
5,3,3,A,14,0.14893617021276595
5,3,3,B,0,0
5,3,3,A/B,0,0
5,3,3,AB,0,0
5,3,3,E,0,0
5,3,4,U,86,0.9148936170212766
5,3,4,S,1,0.010638297872340425
5,3,4,A,7,0.07446808510638298
5,3,4,B,0,0
5,3,4,A/B,0,0
5,3,4,AB,0,0
5,3,4,E,0,0
5,4,1,U,79,0.8404255319148937
5,4,1,S,0,0
5,4,1,A,15,0.1595744680851064
5,4,1,B,0,0
5,4,1,A/B,0,0
5,4,1,AB,0,0
5,4,1,E,0,0
5,4,2,U,83,0.8829787234042553
5,4,2,S,2,0.02127659574468085
5,4,2,A,9,0.09574468085106383
5,4,2,B,0,0
5,4,2,A/B,0,0
5,4,2,AB,0,0
5,4,2,E,0,0
5,4,3,U,87,0.925531914893617
5,4,3,S,1,0.010638297872340425
5,4,3,A,6,0.06382978723404255
5,4,3,B,0,0
5,4,3,A/B,0,0
5,4,3,AB,0,0
5,4,3,E,0,0
5,4,4,U,79,0.8404255319148937
5,4,4,S,1,0.010638297872340425
5,4,4,A,14,0.14893617021276595
5,4,4,B,0,0
5,4,4,A/B,0,0
5,4,4,AB,0,0
5,4,4,E,0,0
5,5,1,U,72,0.7659574468085106
5,5,1,S,13,0.13829787234042554
5,5,1,A,9,0.09574468085106383
5,5,1,B,0,0
5,5,1,A/B,0,0
5,5,1,AB,0,0
5,5,1,E,0,0
5,5,2,U,77,0.8191489361702128
5,5,2,S,17,0.18085106382978725
5,5,2,A,0,0
5,5,2,B,0,0
5,5,2,A/B,0,0
5,5,2,AB,0,0
5,5,2,E,0,0
5,5,3,U,77,0.8191489361702128
5,5,3,S,17,0.18085106382978725
5,5,3,A,0,0
5,5,3,B,0,0
5,5,3,A/B,0,0
5,5,3,AB,0,0
5,5,3,E,0,0
5,5,4,U,68,0.723404255319149
5,5,4,S,20,0.2127659574468085
5,5,4,A,6,0.06382978723404255
5,5,4,B,0,0
5,5,4,A/B,0,0
5,5,4,AB,0,0
5,5,4,E,0,0
6,0,1,U,0,0
6,0,1,S,93,0.9893617021276596
6,0,1,A,1,0.010638297872340425
6,0,1,B,0,0
6,0,1,A/B,0,0
6,0,1,AB,0,0
6,0,1,E,0,0
6,0,2,U,11,0.11702127659574468
6,0,2,S,83,0.8829787234042553
6,0,2,A,0,0
6,0,2,B,0,0
6,0,2,A/B,0,0
6,0,2,AB,0,0
6,0,2,E,0,0
6,0,3,U,9,0.09574468085106383
6,0,3,S,81,0.8617021276595744
6,0,3,A,4,0.0425531914893617
6,0,3,B,0,0
6,0,3,A/B,0,0
6,0,3,AB,0,0
6,0,3,E,0,0
6,0,4,U,9,0.09574468085106383
6,0,4,S,82,0.8723404255319149
6,0,4,A,3,0.031914893617021274
6,0,4,B,0,0
6,0,4,A/B,0,0
6,0,4,AB,0,0
6,0,4,E,0,0
6,1,1,U,61,0.648936170212766
6,1,1,S,33,0.35106382978723405
6,1,1,A,0,0
6,1,1,B,0,0
6,1,1,A/B,0,0
6,1,1,AB,0,0
6,1,1,E,0,0
6,1,2,U,65,0.6914893617021277
6,1,2,S,26,0.2765957446808511
6,1,2,A,3,0.031914893617021274
6,1,2,B,0,0
6,1,2,A/B,0,0
6,1,2,AB,0,0
6,1,2,E,0,0
6,1,3,U,61,0.648936170212766
6,1,3,S,29,0.30851063829787234
6,1,3,A,4,0.0425531914893617
6,1,3,B,0,0
6,1,3,A/B,0,0
6,1,3,AB,0,0
6,1,3,E,0,0
6,1,4,U,68,0.723404255319149
6,1,4,S,26,0.2765957446808511
6,1,4,A,0,0
6,1,4,B,0,0
6,1,4,A/B,0,0
6,1,4,AB,0,0
6,1,4,E,0,0
6,2,1,U,81,0.8617021276595744
6,2,1,S,5,0.05319148936170213
6,2,1,A,8,0.0851063829787234
6,2,1,B,0,0
6,2,1,A/B,0,0
6,2,1,AB,0,0
6,2,1,E,0,0
6,2,2,U,81,0.8617021276595744
6,2,2,S,13,0.13829787234042554
6,2,2,A,0,0
6,2,2,B,0,0
6,2,2,A/B,0,0
6,2,2,AB,0,0
6,2,2,E,0,0
6,2,3,U,81,0.8617021276595744
6,2,3,S,13,0.13829787234042554
6,2,3,A,0,0
6,2,3,B,0,0
6,2,3,A/B,0,0
6,2,3,AB,0,0
6,2,3,E,0,0
6,2,4,U,80,0.851063829787234
6,2,4,S,13,0.13829787234042554
6,2,4,A,0,0
6,2,4,B,1,0.010638297872340425
6,2,4,A/B,0,0
6,2,4,AB,0,0
6,2,4,E,0,0
6,3,1,U,74,0.7872340425531915
6,3,1,S,18,0.19148936170212766
6,3,1,A,2,0.02127659574468085
6,3,1,B,0,0
6,3,1,A/B,0,0
6,3,1,AB,0,0
6,3,1,E,0,0
6,3,2,U,76,0.8085106382978723
6,3,2,S,14,0.14893617021276595
6,3,2,A,4,0.0425531914893617
6,3,2,B,0,0
6,3,2,A/B,0,0
6,3,2,AB,0,0
6,3,2,E,0,0
6,3,3,U,72,0.7659574468085106
6,3,3,S,21,0.22340425531914893
6,3,3,A,1,0.010638297872340425
6,3,3,B,0,0
6,3,3,A/B,0,0
6,3,3,AB,0,0
6,3,3,E,0,0
6,3,4,U,71,0.7553191489361702
6,3,4,S,21,0.22340425531914893
6,3,4,A,0,0
6,3,4,B,2,0.02127659574468085
6,3,4,A/B,0,0
6,3,4,AB,0,0
6,3,4,E,0,0
6,4,1,U,76,0.8085106382978723
6,4,1,S,10,0.10638297872340426
6,4,1,A,6,0.06382978723404255
6,4,1,B,2,0.02127659574468085
6,4,1,A/B,0,0
6,4,1,AB,0,0
6,4,1,E,0,0
